,Date,Heure,ID,followers,is_user_verified,len,like,location,name,retweets,source,tweet
33,13-Nov-2020,14:00:02,1.3272498688935895e+18,265.0,0.0,140.0,0.0,"Paris, France",ydrumare,5.0,Twitter for iPhone,RT @ccifrance: [Média] Le réseau #CCI appelle les consommateurs à utiliser les plates-formes numériques locales ou à attendre le 1er décemb…
34,13-Nov-2020,13:59:44,1.3272497920329687e+18,6.0,0.0,139.0,0.0,,jeckel06,15.0,Twitter for Android,"RT @GilbertCollard: #Covid19 Ce qu'il faut c'est que le gouvernement, une fois pour toutes, parle vrai ! Dans la manière dont la #pandémie…"
35,13-Nov-2020,13:59:29,1.327249728472494e+18,6.0,0.0,140.0,0.0,,jeckel06,27.0,Twitter for Android,"RT @GilbertCollard: #Covid19 Le gouvernement a commis des erreurs terribles. Le #confinement tel qu'il est organisé aujourd'hui, est techno…"
36,13-Nov-2020,13:59:20,1.32724969399117e+18,4206.0,0.0,139.0,0.0,"Gard, Languedoc-Roussillon",Lemerignan,15.0,Twitter for Android,"RT @GilbertCollard: #Covid19 Ce qu'il faut c'est que le gouvernement, une fois pour toutes, parle vrai ! Dans la manière dont la #pandémie…"
37,13-Nov-2020,13:58:57,1.3272495972243988e+18,8963.0,0.0,140.0,0.0,France,Dormez_Dormez,27.0,Twitter Web App,"RT @GilbertCollard: #Covid19 Le gouvernement a commis des erreurs terribles. Le #confinement tel qu'il est organisé aujourd'hui, est techno…"
38,13-Nov-2020,13:58:39,1.327249518883201e+18,3611.0,0.0,140.0,0.0,"Poméranie Occidentale, Pologne",wegorzewo101,27.0,Twitter for Android,"RT @GilbertCollard: #Covid19 Le gouvernement a commis des erreurs terribles. Le #confinement tel qu'il est organisé aujourd'hui, est techno…"
39,13-Nov-2020,13:57:40,1.327249273654829e+18,388.0,0.0,140.0,0.0,Montcuq,FbioVolpi1,27.0,Twitter for Android,"RT @GilbertCollard: #Covid19 Le gouvernement a commis des erreurs terribles. Le #confinement tel qu'il est organisé aujourd'hui, est techno…"
40,13-Nov-2020,13:57:34,1.3272492464295977e+18,379.0,0.0,139.0,0.0,perpignan,Andre_Manos,15.0,Twitter for Android,"RT @GilbertCollard: #Covid19 Ce qu'il faut c'est que le gouvernement, une fois pour toutes, parle vrai ! Dans la manière dont la #pandémie…"
41,13-Nov-2020,13:57:24,1.3272492064536576e+18,379.0,0.0,140.0,0.0,perpignan,Andre_Manos,27.0,Twitter for Android,"RT @GilbertCollard: #Covid19 Le gouvernement a commis des erreurs terribles. Le #confinement tel qu'il est organisé aujourd'hui, est techno…"
42,13-Nov-2020,13:57:19,1.327249187231191e+18,31510.0,1.0,140.0,13.0,"Levallois-Perret, France",ccifrance,5.0,Twitter Web App,[Média] Le réseau #CCI appelle les consommateurs à utiliser les plates-formes numériques locales ou à attendre le 1… https://t.co/tOFLXImPvX
43,13-Nov-2020,13:56:58,1.327249095975637e+18,305.0,0.0,140.0,0.0,,plenertA,27.0,Twitter Web App,"RT @GilbertCollard: #Covid19 Le gouvernement a commis des erreurs terribles. Le #confinement tel qu'il est organisé aujourd'hui, est techno…"
44,13-Nov-2020,13:56:57,1.3272490941511885e+18,1974.0,0.0,139.0,0.0,,LEBELSylvie,15.0,Twitter for iPad,"RT @GilbertCollard: #Covid19 Ce qu'il faut c'est que le gouvernement, une fois pour toutes, parle vrai ! Dans la manière dont la #pandémie…"
45,13-Nov-2020,13:56:52,1.3272490739640033e+18,773.0,0.0,140.0,0.0,France,SebRou55el,27.0,Twitter Web App,"RT @GilbertCollard: #Covid19 Le gouvernement a commis des erreurs terribles. Le #confinement tel qu'il est organisé aujourd'hui, est techno…"
46,13-Nov-2020,13:56:45,1.3272490412022784e+18,333.0,0.0,140.0,0.0,muizon,gorillemonde,27.0,Twitter Web App,"RT @GilbertCollard: #Covid19 Le gouvernement a commis des erreurs terribles. Le #confinement tel qu'il est organisé aujourd'hui, est techno…"
47,13-Nov-2020,13:56:18,1.3272489289207685e+18,1974.0,0.0,140.0,0.0,,LEBELSylvie,27.0,Twitter for iPad,"RT @GilbertCollard: #Covid19 Le gouvernement a commis des erreurs terribles. Le #confinement tel qu'il est organisé aujourd'hui, est techno…"
48,13-Nov-2020,13:55:57,1.3272488400896205e+18,238058.0,1.0,140.0,92.0,"Vauvert, France",GilbertCollard,27.0,Twitter Web App,"#Covid19 Le gouvernement a commis des erreurs terribles. Le #confinement tel qu'il est organisé aujourd'hui, est te… https://t.co/GvmQiwPrQS"
49,13-Nov-2020,13:55:43,1.3272487829589934e+18,1140.0,0.0,139.0,0.0,"Seine-et-Marne, Ile-de-France",leducanne,15.0,Twitter for iPhone,"RT @GilbertCollard: #Covid19 Ce qu'il faut c'est que le gouvernement, une fois pour toutes, parle vrai ! Dans la manière dont la #pandémie…"
50,13-Nov-2020,13:52:53,1.327248069612757e+18,1905.0,0.0,139.0,0.0,"Wittelsheim, France",LudovicCathala,15.0,Twitter Web App,"RT @GilbertCollard: #Covid19 Ce qu'il faut c'est que le gouvernement, une fois pour toutes, parle vrai ! Dans la manière dont la #pandémie…"
51,13-Nov-2020,13:52:16,1.327247913232298e+18,238058.0,1.0,133.0,71.0,"Vauvert, France",GilbertCollard,15.0,Twitter Web App,"#Covid19 Ce qu'il faut c'est que le gouvernement, une fois pour toutes, parle vrai ! Dans la manière dont la… https://t.co/ZxnL1SeXYA"
52,13-Nov-2020,13:50:29,1.327247466232746e+18,1494.0,0.0,140.0,0.0,Paris,SylvieGUYONY,1.0,Twitter for iPhone,RT @agefiactifs: 🏠 Le président de la @FNAIM redoute les conséquences sur le secteur de l'#Immobilier en cas de prolongement du #Confinemen…
53,13-Nov-2020,13:50:20,1.327247427397673e+18,8330.0,0.0,144.0,0.0,France,flagasso,4.0,Twitter for iPhone,RT @Mayenne_Ville: La ministre @1ElisaMoreno &amp; le Gouvernement ont lancé une campagne de communication à destination des personnes #LGBT+ p…
54,13-Nov-2020,13:46:43,1.3272465195112407e+18,146.0,0.0,140.0,0.0,,Frederic_G63,0.0,Twitter Web App,@BourdinDirect #BourdinDirect #confinement “crise“ #COVID19  Pas 1ére fois que #segoleneriyal comprend ce qui se pa… https://t.co/5QbRTAkIfe
55,13-Nov-2020,13:46:42,1.3272465143899873e+18,18.0,0.0,144.0,0.0,"Laval, France",DelliereChrist1,4.0,Twitter for Android,RT @Mayenne_Ville: La ministre @1ElisaMoreno &amp; le Gouvernement ont lancé une campagne de communication à destination des personnes #LGBT+ p…
56,13-Nov-2020,13:43:52,1.327245802343981e+18,413.0,0.0,140.0,0.0,bordeaux,jpalcyon,4.0,Twitter Web App,"RT @LaurenceCohen94: Sur @publicsenat, je dénonce le manque d'anticipation du gouvernement! #PLFSS2021 #confinement #CriseSanitaire #ecoles…"
57,13-Nov-2020,13:39:16,1.3272446435500605e+18,371.0,0.0,138.0,0.0,"Basse-Normandie, France",CedAbdilla,0.0,Twitter Web App,"#confinement  : Sur Europe1, @montebourg dénonce une ""décision arbitraire de hauts fonctionnaires tout-puissants""

https://t.co/120YZCqqQa"
58,13-Nov-2020,13:33:38,1.3272432251454996e+18,31.0,0.0,140.0,0.0,,CalmiNois,11.0,Twitter for Android,"RT @ami_vol: @yangtseetune @EnModeMacaron @LabasOfficiel @ArianeWalter @ZabouF L'homme/la femme politique,qui se levera et qui dira ""NON"" à…"
59,13-Nov-2020,13:30:01,1.3272423132450038e+18,112.0,0.0,140.0,0.0,"Haguenau, France",MesSorties_fr,0.0,Zoho Social,"Elisabeth Borne, Ministre du Travail l'a rappelé lors de sa dernière conférence : En cette période,  4 français sur… https://t.co/7WJBut8afb"
60,13-Nov-2020,13:28:05,1.327241826596741e+18,375.0,0.0,140.0,0.0,Alpes de Haute Provence,colas_masi,0.0,Twitter Web App,"Didier Long, Patron des transports Bremond dans les @AlpesProvence04 et président de @UDE04 s'exprime sur les condi… https://t.co/83JRnShIBr"
61,13-Nov-2020,13:23:17,1.3272406202436362e+18,172.0,0.0,140.0,0.0,Myrelingues la Brumeuse,Laurent_Mourgue,21.0,Twitter for iPad,"RT @CBarrely: Une découverte que cette jeune ministre, @AgnesRunacher, qui sait de quoi elle parle quand elle répond à la détresse sociale.…"
62,13-Nov-2020,13:23:04,1.3272405660616212e+18,346.0,0.0,140.0,0.0,Lille,FBaras,2.0,Twitter Web App,RT @SiliconSalad: 2/3 des commerçants contraints de fermer leurs points de vente pendant le #confinement ne disposent pas d’un #siteweb pou…
63,13-Nov-2020,13:19:55,1.3272397741476454e+18,6.0,0.0,140.0,1.0,"Paris, France",Williamvandenm,0.0,Twitter Web App,"@20Minutes Le retour de #valls sur les chaines TV, l'annonce de #hollande sur sa nouvelle force politique... Et nou… https://t.co/Sf8Kn1P1TS"
64,13-Nov-2020,13:18:48,1.327239492357542e+18,1973.0,0.0,139.0,0.0,Paris et toute la France,NouvelleVie_Pro,0.0,Twitter Web App,"Nouvelles annonces du Gouvernement : télétravail toujours préconisé, prolongation des droits à l’assurance chômage… https://t.co/K6ZFTNLVgf"
65,13-Nov-2020,13:05:14,1.3272360771161375e+18,1307.0,0.0,124.0,0.0,"Paris, France",mick_le_priol,0.0,Twitter Web App,"""Covid : Jean Castex tente de donner des perspectives pour les commerces et Noël"" (via @LesEchos)
👉… https://t.co/s3I7uuUAmn"
66,13-Nov-2020,13:02:00,1.3272352650904986e+18,14.0,0.0,101.0,0.0,,SnetaaB,1.0,Twitter for Android,RT @SnetaaFO: #ToutEstDit #Gouvernement #CriseSanitaire #COVID19 #confinement https://t.co/Vxr3coV1R2
67,13-Nov-2020,12:59:39,1.3272346738362368e+18,1161.0,0.0,140.0,0.0,"Clermont-Ferrand, France",AucouturierP,3.0,Twitter for Android,"RT @PCF: ""Le gouvernement a fait le choix d'un confinement libéral, doux avec les gros et dur pour les petits."" (à propos du #confinement e…"
68,13-Nov-2020,12:56:44,1.327233938952237e+18,774.0,0.0,111.0,0.0,,GrintaMarS,2.0,Twitter for iPhone,RT @GrintaMarS: Le gouvernement nous prend t’il pour des con ?  #COVID19france #confinement #Castex20h #COVID19
69,13-Nov-2020,12:51:34,1.327232637266768e+18,2.0,0.0,132.0,0.0,,Kaffe78355322,0.0,Twitter Web App,"Le confinement tue. C'est la volonté du gouvernement. Inhumain.
#Resistance #DictatureSanitaire #confinement https://t.co/DO4NUEa39p"
70,13-Nov-2020,12:51:04,1.3272325114962944e+18,317.0,0.0,143.0,0.0,,NicoleARNAUD9,0.0,Twitter for Android,"RT @ami_vol: @BFMTV L'homme/la femme politique,qui se levera et qui dira ""NON"" à cette mascarade hysterique aura mon vote

Pas de like -&gt; F…"
71,13-Nov-2020,12:50:24,1.3272323464966513e+18,578.0,0.0,134.0,0.0,"Lille, France",SiliconSalad,2.0,Twitter for iPhone,2/3 des commerçants contraints de fermer leurs points de vente pendant le #confinement ne disposent pas d’un … https://t.co/T5RyAPwR5Y
72,13-Nov-2020,12:44:08,1.327230767341179e+18,645.0,0.0,140.0,0.0,"Loir-et-Cher, Centre",guillaume411,4.0,Twitter for Android,"RT @morandiniblog: Audiences: La conférence de presse du Premier ministre Jean Castex suivie par plus de 7,8 millions de téléspectateurs hi…"
73,13-Nov-2020,12:41:04,1.3272299946497434e+18,1641.0,0.0,140.0,1.0,Paris,isabelle_senand,0.0,Twitter Web App,#Confinement : la fermeture des rayons de produits non-essentiels a suscité une incompréhension totale 👉Les patrons… https://t.co/c9xzTwBivo
74,13-Nov-2020,12:37:48,1.3272291725242163e+18,94.0,0.0,140.0,0.0,"Toulouse, France",Spritsead,81.0,Twitter for Android,"RT @Nantes_Revoltee: 🔴PREMIER MINISTRE : USINE À FAKE NEWS

- Nouveau mensonge d'Etat ce soir : la preuve en images -

#Castex #confinement…"
75,13-Nov-2020,12:34:05,1.3272282390775767e+18,2.0,0.0,128.0,0.0,,GoldorakSon,0.0,Twitter for Android,@BFMTV La solution réside peut-être dans un #confinement de deux mois de l'ensemble du #Parlement et du… https://t.co/qNW7bWbOvZ
76,13-Nov-2020,12:33:29,1.3272280880868352e+18,214.0,0.0,133.0,0.0,,R421767575,42.0,Twitter Web App,"RT @cavousf5: #Confinement : les dernières annonces du gouvernement.
L’édito de #PatrickCohen dans #CàVous ⬇️ https://t.co/eUS7oOwFmA"
77,13-Nov-2020,12:32:11,1.3272277599622963e+18,306.0,0.0,140.0,0.0,,CanadianMarston,81.0,Twitter for Android,"RT @Nantes_Revoltee: 🔴PREMIER MINISTRE : USINE À FAKE NEWS

- Nouveau mensonge d'Etat ce soir : la preuve en images -

#Castex #confinement…"
78,13-Nov-2020,12:31:24,1.3272275631152415e+18,810.0,0.0,140.0,0.0,France #Angers #Anjou,GENITONI,0.0,Twitter Web App,@Mike_Bresson @CheckNewsfr 10 contre vérités dans #Holdup contre 100 mensonges du gouvernement depuis le début de c… https://t.co/CaE0p24hv5
79,13-Nov-2020,12:25:18,1.3272260287130092e+18,153.0,0.0,140.0,0.0,France ,Davidvi95671193,3.0,Twitter Web App,"RT @PCF: ""Le gouvernement a fait le choix d'un confinement libéral, doux avec les gros et dur pour les petits."" (à propos du #confinement e…"
80,13-Nov-2020,12:24:02,1.3272257109650432e+18,2844.0,0.0,140.0,0.0,"Créé par @ze_fisch, pour vous servir.",botliberalisme,3.0,Botliberalisme,"RT @PCF: ""Le gouvernement a fait le choix d'un confinement libéral, doux avec les gros et dur pour les petits."" (à propos du #confinement e…"
81,13-Nov-2020,12:22:54,1.3272254245864038e+18,53486.0,1.0,140.0,1.0,France,PCF,3.0,Twitter Web App,"""Le gouvernement a fait le choix d'un confinement libéral, doux avec les gros et dur pour les petits."" (à propos du… https://t.co/EwRJkK1zJf"
82,13-Nov-2020,12:22:48,1.3272253997435494e+18,198.0,0.0,139.0,0.0,France,pi_boul,0.0,Twitter for iPhone,"via @franceinfo : #CONFINEMENT #COVID_19 Ce matin, sur notre plateau, le ministre de l'Intérieur, Gérald Darmanin,… https://t.co/LxLPCaMZqG"
83,13-Nov-2020,12:20:25,1.327224801363112e+18,1951.0,0.0,140.0,0.0,"Montréal, Canada",macp7302,2.0,Twitter for Android,"RT @beatriceLBB: #COVID19france : #confinement , #vacances de Noël, #écoles , #collèges et #lycées... Ce qu'a annoncé Jean Castex
#JeanCast…"
84,13-Nov-2020,12:19:30,1.3272245701941125e+18,26.0,0.0,139.0,0.0,"Ile-de-France, France",Bob43411314,0.0,Twitter Web App,"On peut faire cours dans des salles bondées
On peut prendre le métro ou le RER aux heures de pointe
On ne peut pas… https://t.co/EGZbZDguYM"
85,13-Nov-2020,12:19:10,1.327224484005294e+18,260.0,0.0,140.0,0.0,,unbonpote,81.0,Twitter for Android,"RT @Nantes_Revoltee: 🔴PREMIER MINISTRE : USINE À FAKE NEWS

- Nouveau mensonge d'Etat ce soir : la preuve en images -

#Castex #confinement…"
86,13-Nov-2020,12:16:18,1.3272237629038182e+18,101.0,0.0,139.0,0.0,"Essonne, Ile-de-France",moisegerard1,5.0,Twitter for Android,"RT @LTaillade_PRS: 🎙 Rendez-vous en direct sur @SudRadio à 10H45 pour le débat de @valerie_expert !

👉#confinement #13novembre2015 #HoldUp…"
87,13-Nov-2020,12:06:10,1.3272212141469245e+18,3550.0,0.0,140.0,0.0,France,GNI_Paris_Idf,4.0,Twitter Web App,RT @lhotellerieLHR: Réaction de Didier Chenet @GNI_CHR après l’intervention du premier ministre : « Les hôtels cafés restaurants nous somme…
88,13-Nov-2020,12:05:46,1.3272211145405809e+18,318.0,0.0,140.0,0.0,"Toulouse, France",GNI_OCCITANIE,4.0,Twitter Web App,RT @lhotellerieLHR: Réaction de Didier Chenet @GNI_CHR après l’intervention du premier ministre : « Les hôtels cafés restaurants nous somme…
